#Bulken (Vangsvatnet), 62.5.0, Vannføring, time
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2024-06-14 20:00:00Z;56,07827;0;3
2024-06-14 21:00:00Z;55,84796;0;3
2024-06-14 22:00:00Z;55,7968;0;3
2024-06-14 23:00:00Z;55,73293;0;3
2024-06-15 00:00:00Z;55,7968;0;3
2024-06-15 01:00:00Z;55,82236;0;3
2024-06-15 02:00:00Z;55,92467;0;3
2024-06-15 03:00:00Z;56,11671;0;3
2024-06-15 04:00:00Z;56,30902;0;3
2024-06-15 05:00:00Z;56,4374;0;3
2024-06-15 06:00:00Z;56,65606;0;3
2024-06-15 07:00:00Z;57,02984;0;3
2024-06-15 08:00:00Z;57,3789;0;3
2024-06-15 09:00:00Z;57,85881;0;3
2024-06-15 10:00:00Z;58,35385;0;3
2024-06-15 11:00:00Z;59,16528;0;3
2024-06-15 12:00:00Z;59,70463;0;3
2024-06-15 13:00:00Z;60,47172;0;3
2024-06-15 14:00:00Z;61,13639;0;3
2024-06-15 15:00:00Z;61,76434;0;3
2024-06-15 16:00:00Z;62,35509;0;3
2024-06-15 17:00:00Z;63,16479;0;3
2024-06-15 18:00:00Z;63,93827;0;3
2024-06-15 19:00:00Z;64,68876;0;3
2024-06-15 20:00:00Z;65,40226;0;3
2024-06-15 21:00:00Z;66,35465;0;3
2024-06-15 22:00:00Z;67,36902;0;3
2024-06-15 23:00:00Z;68,47477;0;3
2024-06-16 00:00:00Z;69,58864;0;3
2024-06-16 01:00:00Z;70,63966;0;3
2024-06-16 02:00:00Z;71,78431;0;3
2024-06-16 03:00:00Z;73,05326;0;3
2024-06-16 04:00:00Z;74,43456;0;3
2024-06-16 05:00:00Z;75,87217;0;3
2024-06-16 06:00:00Z;77,50093;0;3
2024-06-16 07:00:00Z;79,17544;0;3
2024-06-16 08:00:00Z;80,83592;0;3
2024-06-16 09:00:00Z;82,32864;0;3
2024-06-16 10:00:00Z;83,78789;0;3
2024-06-16 11:00:00Z;85,11881;0;3
2024-06-16 12:00:00Z;86,13107;0;3
2024-06-16 13:00:00Z;86,92944;0;3
2024-06-16 14:00:00Z;87,76276;0;3
2024-06-16 15:00:00Z;88,40981;0;3
2024-06-16 16:00:00Z;88,96411;0;3
2024-06-16 17:00:00Z;89,67911;0;3
2024-06-16 18:00:00Z;90,26875;0;3
2024-06-16 19:00:00Z;90,50833;0;3
2024-06-16 20:00:00Z;90,9565;0;3
2024-06-16 21:00:00Z;91,40573;0;3
2024-06-16 22:00:00Z;92,08131;0;3
2024-06-16 23:00:00Z;92,53291;0;3
2024-06-17 00:00:00Z;93,03423;0;3
2024-06-17 01:00:00Z;93,53672;0;3
2024-06-17 02:00:00Z;93,94286;0;3
2024-06-17 03:00:00Z;94,34987;0;3
2024-06-17 04:00:00Z;94,87209;0;3
2024-06-17 05:00:00Z;95,52674;0;3
2024-06-17 06:00:00Z;96,28205;0;3
2024-06-17 07:00:00Z;96,97408;0;3
2024-06-17 08:00:00Z;97,75125;0;3
2024-06-17 09:00:00Z;98,54788;0;3
2024-06-17 10:00:00Z;99,34751;0;3
2024-06-17 11:00:00Z;100,083;0;3
2024-06-17 12:00:00Z;100,4012;0;3
2024-06-17 13:00:00Z;100,569;0;3
2024-06-17 14:00:00Z;100,8378;0;3
2024-06-17 15:00:00Z;101,1404;0;3
2024-06-17 16:00:00Z;101,0227;0;3
2024-06-17 17:00:00Z;101,2246;0;3
2024-06-17 18:00:00Z;101,4604;0;3
2024-06-17 19:00:00Z;101,5278;0;3
2024-06-17 20:00:00Z;101,764;0;3
2024-06-17 21:00:00Z;102,0511;0;3
2024-06-17 22:00:00Z;102,4063;0;3
2024-06-17 23:00:00Z;102,6095;0;3
2024-06-18 00:00:00Z;102,9655;0;3
2024-06-18 01:00:00Z;103,2712;0;3
2024-06-18 02:00:00Z;103,6794;0;3
2024-06-18 03:00:00Z;104,2078;0;3
2024-06-18 04:00:00Z;104,7373;0;3
2024-06-18 05:00:00Z;105,1481;0;3
2024-06-18 06:00:00Z;105,4052;0;3
2024-06-18 07:00:00Z;105,4395;0;3
2024-06-18 08:00:00Z;105,4395;0;3
2024-06-18 09:00:00Z;105,4052;0;3
