#Evangervatn, 62.115.0, Vannstand, time
Tidspunkt;Vannstand (m);Korrigert;Kontrollert
2024-06-09 00:00:00Z;8,888906;1;3
2024-06-09 01:00:00Z;8,863528;1;3
2024-06-09 02:00:00Z;8,841024;1;3
2024-06-09 03:00:00Z;8,819521;1;3
2024-06-09 04:00:00Z;8,801017;1;3
2024-06-09 05:00:00Z;8,783141;1;3
2024-06-09 06:00:00Z;8,766388;1;3
2024-06-09 07:00:00Z;8,752135;1;3
2024-06-09 08:00:00Z;8,739125;1;3
2024-06-09 09:00:00Z;8,72592;1;3
2024-06-09 10:00:00Z;8,716634;1;3
2024-06-09 11:00:00Z;8,706136;1;3
2024-06-09 12:00:00Z;8,696507;1;3
2024-06-09 13:00:00Z;8,689878;1;3
2024-06-09 14:00:00Z;8,683502;1;3
2024-06-09 15:00:00Z;8,679751;1;3
2024-06-09 16:00:00Z;8,676377;1;3
2024-06-09 17:00:00Z;8,684424;1;3
2024-06-09 18:00:00Z;8,715009;1;3
2024-06-09 19:00:00Z;8,749455;1;3
2024-06-09 20:00:00Z;8,77603;1;3
2024-06-09 21:00:00Z;8,795263;1;3
2024-06-09 22:00:00Z;8,809386;1;3
2024-06-09 23:00:00Z;8,824385;1;3
2024-06-10 00:00:00Z;8,834878;1;3
2024-06-10 01:00:00Z;8,838376;1;3
2024-06-10 02:00:00Z;8,840878;1;3
2024-06-10 03:00:00Z;8,830759;1;3
2024-06-10 04:00:00Z;8,81938;1;3
2024-06-10 05:00:00Z;8,823381;1;3
2024-06-10 06:00:00Z;8,837384;1;3
2024-06-10 07:00:00Z;8,848881;1;3
2024-06-10 08:00:00Z;8,858003;1;3
2024-06-10 09:00:00Z;8,861376;1;3
2024-06-10 10:00:00Z;8,8655;1;3
2024-06-10 11:00:00Z;8,864135;1;3
2024-06-10 12:00:00Z;8,8449;1;3
2024-06-10 13:00:00Z;8,822646;1;3
2024-06-10 14:00:00Z;8,806757;1;3
2024-06-10 15:00:00Z;8,808878;1;3
2024-06-10 16:00:00Z;8,818881;1;3
2024-06-10 17:00:00Z;8,82888;1;3
2024-06-10 18:00:00Z;8,838004;1;3
2024-06-10 19:00:00Z;8,84713;1;3
2024-06-10 20:00:00Z;8,855502;1;3
2024-06-10 21:00:00Z;8,854875;1;3
2024-06-10 22:00:00Z;8,85063;1;3
2024-06-10 23:00:00Z;8,838259;1;3
2024-06-11 00:00:00Z;8,825386;1;3
2024-06-11 01:00:00Z;8,808271;1;3
2024-06-11 02:00:00Z;8,786648;1;3
2024-06-11 03:00:00Z;8,768638;1;3
2024-06-11 04:00:00Z;8,75588;1;3
2024-06-11 05:00:00Z;8,751631;1;3
2024-06-11 06:00:00Z;8,763761;1;3
2024-06-11 07:00:00Z;8,776632;1;3
2024-06-11 08:00:00Z;8,786002;1;3
2024-06-11 09:00:00Z;8,787253;1;3
2024-06-11 10:00:00Z;8,777631;1;3
2024-06-11 11:00:00Z;8,767644;1;3
2024-06-11 12:00:00Z;8,744556;1;3
2024-06-11 13:00:00Z;8,719872;1;3
2024-06-11 14:00:00Z;8,698535;1;3
2024-06-11 15:00:00Z;8,68527;1;3
2024-06-11 16:00:00Z;8,698408;1;3
2024-06-11 17:00:00Z;8,717843;1;3
2024-06-11 18:00:00Z;8,735812;1;3
2024-06-11 19:00:00Z;8,748757;1;3
2024-06-11 20:00:00Z;8,760133;1;3
2024-06-11 21:00:00Z;8,771882;1;3
2024-06-11 22:00:00Z;8,782756;1;3
